Time,1,2,3
0,0.110015376,0.110015376,0.110015376
2,99.88693593,99.88693593,99.88693593
10,99.94687483,99.94687483,99.94687483
11,98.78251898,98.78251898,98.78251898
12,56.37818781,56.37818781,56.37818781
20,0.104981215,0.104981215,0.104981215
21,56.17668408,56.17668408,56.17668408
22,95.98133745,95.98133745,95.98133745
30,97.18573959,97.18573959,97.18573959
31,84.07035742,84.07035742,84.07035742
32,27.97772204,27.97772204,27.97772204
40,5.109286954,5.109286954,5.109286954
50,0.115870225,0.115870225,0.115870225
60,6.425628755,6.425628755,6.425628755
